GL 3.3
OpenGL 3.3.0 NVIDIA 560.35.05, GLSL 3.30 NVIDIA via Cg compiler
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9994
Step: 0, FPS: 60
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9992
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9992
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9992
Step: 0, FPS: 59.9991
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9989
Step: 0, FPS: 59.9997
Step: 0, FPS: 60
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9991
Step: 0, FPS: 53.6755
Step: 0, FPS: 57.6201
Step: 0, FPS: 55.7178
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9992
Step: 0, FPS: 59.9989
Step: 0, FPS: 60
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9992
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.999
Step: 0, FPS: 59.9996
Step: 0, FPS: 60
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9991
Step: 0, FPS: 60
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9993
Step: 0, FPS: 60
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 60
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9996
Step: 0, FPS: 60
Step: 0, FPS: 59.9994
Step: 0, FPS: 60
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9999
Step: 0, FPS: 60
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9995
Step: 0, FPS: 60
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9999
Step: 0, FPS: 60
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9997
Step: 0, FPS: 60
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9995
Step: 6, FPS: 59.9996
Step: 12, FPS: 59.9999
Step: 18, FPS: 59.9999
Step: 24, FPS: 59.9995
Step: 30, FPS: 59.9993
Step: 36, FPS: 59.9992
Step: 42, FPS: 59.9994
Step: 48, FPS: 59.9993
Step: 54, FPS: 59.9989
Step: 60, FPS: 59.9995
Step: 66, FPS: 59.9999
Step: 72, FPS: 59.9997
Step: 78, FPS: 59.9987
Step: 84, FPS: 60
Step: 90, FPS: 59.9997
Step: 96, FPS: 59.9999
Step: 102, FPS: 59.9995
Step: 108, FPS: 60
Step: 114, FPS: 59.9993
Step: 120, FPS: 59.9997
Step: 126, FPS: 59.9999
Step: 132, FPS: 59.9996
Step: 138, FPS: 59.999
Step: 144, FPS: 59.9999
Step: 150, FPS: 53.9536
Step: 156, FPS: 46.6748
Step: 162, FPS: 40.0435
Step: 168, FPS: 21.9508
Step: 174, FPS: 21.8394
Step: 180, FPS: 21.0364
Step: 186, FPS: 31.5035
Step: 192, FPS: 59.9996
Step: 198, FPS: 59.9995
Step: 204, FPS: 59.9992
Step: 210, FPS: 59.9999
Step: 216, FPS: 59.9997
Step: 222, FPS: 59.9997
Step: 228, FPS: 58.5706
Step: 234, FPS: 60
Step: 240, FPS: 59.9995
Step: 246, FPS: 59.9997
Step: 252, FPS: 59.9997
Step: 258, FPS: 59.9995
Step: 264, FPS: 59.9995
Step: 270, FPS: 59.9993
Step: 276, FPS: 59.9996
Step: 282, FPS: 59.9998
Step: 288, FPS: 59.9999
Step: 294, FPS: 49.1977
Step: 300, FPS: 59.9995
Step: 306, FPS: 43.7847
Step: 312, FPS: 46.603
Step: 318, FPS: 58.7572
Step: 324, FPS: 59.9993
Step: 330, FPS: 60
Step: 336, FPS: 59.9999
Step: 342, FPS: 59.9997
Step: 348, FPS: 59.9996
Step: 354, FPS: 59.9999
Step: 360, FPS: 45.297
Step: 366, FPS: 59.9993
Step: 372, FPS: 59.9996
Step: 378, FPS: 59.9997
Step: 384, FPS: 47.7502
Step: 390, FPS: 59.9992
Step: 396, FPS: 59.9999
Step: 402, FPS: 57.5549
Step: 408, FPS: 59.9996
Step: 414, FPS: 59.9997
Step: 420, FPS: 59.9995
Step: 426, FPS: 59.9998
Step: 432, FPS: 59.9989
Step: 438, FPS: 60
Step: 438, FPS: 59.9996
Step: 438, FPS: 59.9993
Step: 438, FPS: 59.9998
Step: 438, FPS: 59.9998
Step: 438, FPS: 59.9998
Step: 438, FPS: 59.9997
Step: 438, FPS: 59.9996
Step: 438, FPS: 59.9997
Step: 438, FPS: 59.9993
Step: 438, FPS: 59.9985
Step: 438, FPS: 59.9976
Step: 438, FPS: 59.9986
Step: 438, FPS: 59.9986
Step: 438, FPS: 59.9986
Step: 438, FPS: 59.9978
Step: 438, FPS: 59.9993
Step: 438, FPS: 59.9977
Step: 438, FPS: 60
Step: 438, FPS: 59.9997
Step: 438, FPS: 59.9996
Step: 438, FPS: 59.9985
Step: 438, FPS: 59.9984
Step: 438, FPS: 59.9991
Step: 438, FPS: 59.9993
Step: 438, FPS: 59.9994
Step: 438, FPS: 59.9994
Step: 438, FPS: 59.9994
Step: 438, FPS: 59.9995
Step: 438, FPS: 59.9992
Step: 438, FPS: 59.9999
Step: 438, FPS: 59.9991
Step: 438, FPS: 59.9991
Step: 438, FPS: 59.9979
Step: 438, FPS: 59.9995
Step: 438, FPS: 59.9998
Step: 438, FPS: 59.9992
Step: 438, FPS: 59.997
Step: 438, FPS: 59.9979
Step: 438, FPS: 59.9987
Step: 438, FPS: 59.9981
Step: 438, FPS: 59.9969
Step: 438, FPS: 59.9979
Step: 438, FPS: 59.9993
Step: 438, FPS: 59.9993
Step: 438, FPS: 59.9964
Step: 438, FPS: 59.9995
