GL 4.6
OpenGL 4.6 (Core Profile) Mesa 24.0.9-0ubuntu0.3, GLSL 4.60
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9993
Step: 0, FPS: 60
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9994
Step: 0, FPS: 60
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9996
Step: 0, FPS: 60
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9993
Step: 0, FPS: 60
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9996
Step: 0, FPS: 60
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9994
Step: 0, FPS: 60
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9995
Step: 0, FPS: 60
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9996
Step: 0, FPS: 60
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9993
Step: 0, FPS: 60
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 60
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9997
Step: 0, FPS: 60
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9996
Step: 0, FPS: 60
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9997
Step: 0, FPS: 60
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9949
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9998
Step: 0, FPS: 60
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9997
Step: 0, FPS: 60
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9993
Step: 0, FPS: 60
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9993
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9994
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9996
Step: 0, FPS: 60
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9995
Step: 0, FPS: 59.9996
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9997
Step: 0, FPS: 59.9998
Step: 0, FPS: 60
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9999
Step: 0, FPS: 59.9998
Step: 0, FPS: 59.9993
Step: 24, FPS: 59.9996
Step: 48, FPS: 59.9998
Step: 72, FPS: 59.9998
Step: 96, FPS: 59.9994
Step: 120, FPS: 59.9996
Step: 144, FPS: 59.9993
Step: 168, FPS: 59.9998
Step: 192, FPS: 59.9999
Step: 216, FPS: 59.9996
Step: 240, FPS: 59.9999
Step: 264, FPS: 59.9995
Step: 288, FPS: 60
Step: 312, FPS: 59.9998
Step: 336, FPS: 59.9995
Step: 360, FPS: 59.9994
Step: 384, FPS: 59.9999
Step: 408, FPS: 59.9996
Step: 432, FPS: 59.9997
Step: 456, FPS: 59.9998
Step: 480, FPS: 59.9999
Step: 504, FPS: 59.9994
Step: 528, FPS: 59.9998
Step: 552, FPS: 59.9994
Step: 576, FPS: 59.9998
Step: 600, FPS: 59.9996
Step: 624, FPS: 59.9993
Step: 648, FPS: 59.9997
Step: 672, FPS: 59.9998
Step: 696, FPS: 59.9996
Step: 720, FPS: 59.9993
Step: 744, FPS: 59.9998
Step: 768, FPS: 59.9995
Step: 792, FPS: 59.9997
Step: 816, FPS: 59.9993
Step: 840, FPS: 60
Step: 864, FPS: 59.9995
Step: 888, FPS: 59.9994
Step: 912, FPS: 59.9997
Step: 936, FPS: 59.9996
Step: 960, FPS: 59.9993
Step: 980, FPS: 59.9993
Step: 985, FPS: 59.9997
Step: 990, FPS: 59.9995
Step: 995, FPS: 59.9996
Step: 1000, FPS: 59.9997
Step: 1005, FPS: 59.9997
Step: 1010, FPS: 59.9994
Step: 1015, FPS: 59.9993
Step: 1020, FPS: 59.9993
Step: 1025, FPS: 59.9998
Step: 1030, FPS: 59.9999
Step: 1035, FPS: 59.9993
Step: 1040, FPS: 59.9993
Step: 1045, FPS: 59.9996
Step: 1050, FPS: 59.9994
Step: 1055, FPS: 59.9996
Step: 1060, FPS: 59.9997
Step: 1062, FPS: 59.9993
Step: 1068, FPS: 59.9997
Step: 1074, FPS: 59.9996
Step: 1080, FPS: 60
Step: 1086, FPS: 59.9999
Step: 1092, FPS: 59.9995
Step: 1098, FPS: 59.9994
Step: 1104, FPS: 59.9996
Step: 1110, FPS: 59.9998
Step: 1116, FPS: 60
Step: 1122, FPS: 59.9999
Step: 1128, FPS: 59.9995
Step: 1134, FPS: 59.9998
Step: 1140, FPS: 60
Step: 1146, FPS: 59.9993
Step: 1152, FPS: 59.9996
Step: 1158, FPS: 59.9996
Step: 1164, FPS: 59.9997
Step: 1170, FPS: 59.9994
Step: 6, FPS: 59.9998
Step: 12, FPS: 59.9994
Step: 18, FPS: 59.9996
Step: 24, FPS: 59.9993
Step: 30, FPS: 59.9993
Step: 36, FPS: 59.9997
Step: 42, FPS: 59.9996
Step: 48, FPS: 59.9995
Step: 54, FPS: 59.9995
Step: 60, FPS: 59.9996
Step: 66, FPS: 59.9998
Step: 72, FPS: 59.9999
Step: 78, FPS: 59.9997
Step: 84, FPS: 59.9999
Step: 90, FPS: 59.9995
Step: 96, FPS: 59.9998
Step: 102, FPS: 59.9995
Step: 108, FPS: 59.9998
Step: 114, FPS: 60
Step: 120, FPS: 59.9999
Step: 126, FPS: 59.9994
Step: 132, FPS: 59.9994
Step: 138, FPS: 59.9994
Step: 144, FPS: 59.9998
Step: 150, FPS: 59.9996
Step: 156, FPS: 60
Step: 162, FPS: 59.9997
Step: 168, FPS: 59.9999
Step: 174, FPS: 60
Step: 180, FPS: 59.9995
Step: 186, FPS: 59.9996
Step: 192, FPS: 59.9999
Step: 198, FPS: 59.9996
Step: 204, FPS: 59.9996
Step: 210, FPS: 59.9999
Step: 216, FPS: 60
Step: 222, FPS: 59.9996
Step: 228, FPS: 59.9997
Step: 234, FPS: 59.9996
Step: 240, FPS: 59.9997
Step: 246, FPS: 60
Step: 252, FPS: 59.9998
Step: 258, FPS: 59.9996
Step: 264, FPS: 60
Step: 270, FPS: 59.9994
Step: 276, FPS: 59.9994
Step: 282, FPS: 59.9994
Step: 288, FPS: 59.9997
Step: 294, FPS: 59.9998
Step: 300, FPS: 59.9999
Step: 306, FPS: 59.9998
Step: 312, FPS: 59.9995
Step: 318, FPS: 59.9998
Step: 324, FPS: 59.9997
Step: 330, FPS: 59.9997
Step: 336, FPS: 60
Step: 342, FPS: 59.9996
Step: 348, FPS: 59.9998
Step: 354, FPS: 60
Step: 360, FPS: 59.9993
Step: 366, FPS: 59.9997
Step: 372, FPS: 59.9996
Step: 378, FPS: 59.9994
Step: 384, FPS: 59.9999
Step: 390, FPS: 59.9996
Step: 396, FPS: 59.9995
Step: 402, FPS: 59.9996
Step: 408, FPS: 59.9997
Step: 414, FPS: 59.9994
Step: 420, FPS: 59.9999
Step: 426, FPS: 25.6226
Step: 432, FPS: 27.7105
Step: 438, FPS: 27.8974
Step: 444, FPS: 27.8563
Step: 450, FPS: 27.059
Step: 6, FPS: 59.9995
Step: 12, FPS: 59.9996
Step: 18, FPS: 60
Step: 24, FPS: 59.9997
Step: 30, FPS: 59.9997
Step: 36, FPS: 60
Step: 42, FPS: 59.9993
Step: 48, FPS: 59.9994
Step: 54, FPS: 59.9998
Step: 60, FPS: 59.9994
Step: 66, FPS: 59.9999
Step: 72, FPS: 59.9994
Step: 78, FPS: 59.9995
Step: 84, FPS: 59.9994
Step: 90, FPS: 59.9999
Step: 96, FPS: 59.9999
Step: 102, FPS: 59.9997
Step: 108, FPS: 60
Step: 114, FPS: 59.9995
Step: 120, FPS: 59.9998
Step: 126, FPS: 59.9994
Step: 132, FPS: 59.9997
Step: 138, FPS: 59.9998
